"tick","avg_recovery_requests"
110.0,"avg_recovery=179, fanout=3, view=5"
100.0,"avg_recovery=180, fanout=3, view=6"
100.0,"avg_recovery=169, fanout=3, view=7"
100.0,"avg_recovery=166, fanout=3, view=8"
100.0,"avg_recovery=166, fanout=3, view=9"
100.0,"avg_recovery=163, fanout=3, view=10"
100.0,"avg_recovery=159, fanout=3, view=11"
100.0,"avg_recovery=147, fanout=3, view=12"
100.0,"avg_recovery=147, fanout=3, view=13"
100.0,"avg_recovery=150, fanout=3, view=14"
100.0,"avg_recovery=147, fanout=3, view=16"
100.0,"avg_recovery=145, fanout=3, view=17"
100.0,"avg_recovery=139, fanout=3, view=18"
100.0,"avg_recovery=141, fanout=3, view=19"
100.0,"avg_recovery=138, fanout=3, view=15"
100.0,"avg_recovery=138, fanout=3, view=20"
