"tick","message_propagation"
1.0,"{}"
2.0,"{}"
3.0,"{}"
4.0,"{}"
5.0,"{}"
6.0,"{}"
7.0,"{}"
8.0,"{}"
9.0,"{}"
10.0,"{}"
11.0,"{}"
12.0,"{}"
13.0,"{}"
14.0,"{}"
15.0,"{}"
16.0,"{}"
17.0,"{}"
18.0,"{}"
19.0,"{}"
20.0,"{8f4dd291-8532-4377-9d97-f01bce0caf32=1}"
21.0,"{8f4dd291-8532-4377-9d97-f01bce0caf32=4}"
22.0,"{8f4dd291-8532-4377-9d97-f01bce0caf32=11}"
23.0,"{8f4dd291-8532-4377-9d97-f01bce0caf32=22}"
24.0,"{8f4dd291-8532-4377-9d97-f01bce0caf32=38}"
25.0,"{8f4dd291-8532-4377-9d97-f01bce0caf32=59}"
26.0,"{8f4dd291-8532-4377-9d97-f01bce0caf32=75}"
27.0,"{8f4dd291-8532-4377-9d97-f01bce0caf32=80}"
28.0,"{8f4dd291-8532-4377-9d97-f01bce0caf32=83}"
29.0,"{8f4dd291-8532-4377-9d97-f01bce0caf32=84}"
30.0,"{8f4dd291-8532-4377-9d97-f01bce0caf32=84}"
31.0,"{8f4dd291-8532-4377-9d97-f01bce0caf32=84}"
32.0,"{8f4dd291-8532-4377-9d97-f01bce0caf32=84}"
33.0,"{8f4dd291-8532-4377-9d97-f01bce0caf32=84}"
34.0,"{8f4dd291-8532-4377-9d97-f01bce0caf32=84}"
35.0,"{8f4dd291-8532-4377-9d97-f01bce0caf32=84}"
36.0,"{8f4dd291-8532-4377-9d97-f01bce0caf32=84}"
37.0,"{8f4dd291-8532-4377-9d97-f01bce0caf32=84}"
38.0,"{8f4dd291-8532-4377-9d97-f01bce0caf32=84}"
39.0,"{8f4dd291-8532-4377-9d97-f01bce0caf32=84}"
40.0,"{cbd1205c-269f-4218-87d2-58983115837f=1, 8f4dd291-8532-4377-9d97-f01bce0caf32=84}"
41.0,"{cbd1205c-269f-4218-87d2-58983115837f=4, 8f4dd291-8532-4377-9d97-f01bce0caf32=84}"
42.0,"{cbd1205c-269f-4218-87d2-58983115837f=9, 8f4dd291-8532-4377-9d97-f01bce0caf32=84}"
